trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-196.70614227712787,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-110.90179153804289,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-52.51267056140243,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,3,-49.12717371945425,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-79.90258888961047,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,14,-1.1383000822400082,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-94.2354957926801,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,13,-40.732703779408084,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-141.27943094774722,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-99.54950042389152,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,9,-41.38562568679544,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-198.91021255384555,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,10,-50.080133652953414,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-111.40088259004682,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,2,-100.26675233987595,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,12,-17.74379771272683,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-119.6139143109915,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 3}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-62.40294334340793,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-65.08263042148405,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-76.42229527873789,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",35,23,-4.896451953622365,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,8,-123.53310919867675,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 3}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-67.76139663665569,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
